第n次,test_mse,test_mae
"1, 64",0.021540533751249313,0.10803846269845963
"2, 64",0.019855262711644173,0.10144777595996857
"3, 64",0.022361043840646744,0.10569252073764801
"4, 64",0.022851169109344482,0.11324097216129303
"5, 64",0.02144896425306797,0.10730386525392532
"6, 64",0.02020280808210373,0.10506989061832428
"mean,64",0.021376630291342735,0.10679891457160313
第n次,test_mse,test_mae
"1, 128",0.02125495858490467,0.1059570387005806
"2, 128",0.01937611773610115,0.09643856436014175
"3, 128",0.02185036800801754,0.10630229860544205
"4, 128",0.0194095466285944,0.10153990983963013
"5, 128",0.019785229116678238,0.10007471591234207
"6, 128",0.019570710137486458,0.09993616491556168
"mean,128",0.02020782170196374,0.10170811538894971
第n次,test_mse,test_mae
"1, 256",0.01818845048546791,0.09659521281719208
"2, 256",0.01764185167849064,0.09772375971078873
"3, 256",0.01807521842420101,0.09853849560022354
"4, 256",0.017819218337535858,0.0945010632276535
"5, 256",0.020807573571801186,0.10614219307899475
"6, 256",0.02001510187983513,0.10093728452920914
"mean,256",0.018757902396221954,0.09907300149401028
第n次,test_mse,test_mae
"1, 512",0.01929723285138607,0.1002730056643486
"2, 512",0.02035653404891491,0.10228783637285233
"3, 512",0.02040405198931694,0.10199659317731857
"4, 512",0.02030923031270504,0.10493937134742737
"5, 512",0.020281465724110603,0.1017734482884407
"6, 512",0.01800948940217495,0.09320960193872452
"mean,512",0.019776334054768085,0.10074664279818535
第n次,test_mse,test_mae
"1, 1024",0.018408402800559998,0.10039065033197403
"2, 1024",0.019115597009658813,0.10161043703556061
"3, 1024",0.01749127171933651,0.09553059190511703
"4, 1024",0.018620779737830162,0.09960073977708817
"5, 1024",0.01952812820672989,0.10160067677497864
"6, 1024",0.021015260368585587,0.09924960136413574
"mean,1024",0.01902990664045016,0.09966378286480904
