第n次,test_mse,test_mae
"1, 64",0.013209342956542969,0.07702185958623886
"2, 64",0.0136921601369977,0.07900632917881012
"3, 64",0.01325791236013174,0.07944241166114807
"4, 64",0.013610996305942535,0.07554124295711517
"5, 64",0.013304498046636581,0.07429609447717667
"6, 64",0.013694832101464272,0.07621664553880692
"mean,64",0.013461623651285967,0.07692076389988263
第n次,test_mse,test_mae
"1, 128",0.012719228863716125,0.07348699122667313
"2, 128",0.013862417079508305,0.07732803374528885
"3, 128",0.013070727698504925,0.07442044466733932
"4, 128",0.012993858195841312,0.07444783300161362
"5, 128",0.012941800057888031,0.07550637423992157
"6, 128",0.01341671496629715,0.07618609815835953
"mean,128",0.01316745781029264,0.075229295839866
第n次,test_mse,test_mae
"1, 256",0.013048526830971241,0.07410773634910583
"2, 256",0.012570659630000591,0.0728212371468544
"3, 256",0.012533186003565788,0.07194042950868607
"4, 256",0.01283033937215805,0.07499876618385315
"5, 256",0.012259203940629959,0.07087328284978867
"6, 256",0.012998498044908047,0.07241734117269516
"mean,256",0.012706735637038946,0.07285979886849721
第n次,test_mse,test_mae
"1, 512",0.01296533178538084,0.0735975131392479
"2, 512",0.01293246541172266,0.07399766147136688
"3, 512",0.013054566457867622,0.07270784676074982
"4, 512",0.013404292054474354,0.07614333182573318
"5, 512",0.013860630802810192,0.07839871942996979
"6, 512",0.01270164642482996,0.07023435086011887
"mean,512",0.01315315548951427,0.07417990391453107
第n次,test_mse,test_mae
"1, 1024",0.013743368908762932,0.07807925343513489
"2, 1024",0.013148458674550056,0.07283731549978256
"3, 1024",0.012744111008942127,0.07123132050037384
"4, 1024",0.012913634069263935,0.07422228902578354
"5, 1024",0.013121543452143669,0.07429153472185135
"6, 1024",0.014174371026456356,0.0788566842675209
"mean,1024",0.013307581190019846,0.07491973290840785
