第n次,test_mse,test_mae
"1, 64",0.019020766019821167,0.10236833989620209
"2, 64",0.01934022456407547,0.10305465757846832
"3, 64",0.01859266310930252,0.10079734772443771
"4, 64",0.01772943139076233,0.10090852528810501
"5, 64",0.018082620576024055,0.10120969265699387
"6, 64",0.018610090017318726,0.10518523305654526
"7, 64",0.01934291236102581,0.10435381531715393
"8, 64",0.01811083033680916,0.09880384802818298
"9, 64",0.018889445811510086,0.1019756868481636
"10, 64",0.018506016582250595,0.0992278903722763
"mean,64",0.01862250007688999,0.1017885036766529
第n次,test_mse,test_mae
"1, 128",0.01735716313123703,0.0969507172703743
"2, 128",0.019275883212685585,0.10403697192668915
"3, 128",0.018662774935364723,0.10345244407653809
"4, 128",0.019266437739133835,0.10245417058467865
"5, 128",0.018803225830197334,0.10274617373943329
"6, 128",0.017518682405352592,0.09434319287538528
"7, 128",0.018562141805887222,0.10117877274751663
"8, 128",0.017635134980082512,0.09814803302288055
"9, 128",0.01961773820221424,0.10481537878513336
"10, 128",0.019119441509246826,0.10401537269353867
"mean,128",0.01858186237514019,0.1012141227722168
第n次,test_mse,test_mae
"1, 256",0.01949366182088852,0.10388438403606415
"2, 256",0.017054222524166107,0.09615597873926163
"3, 256",0.01894223317503929,0.10104289650917053
"4, 256",0.01696266606450081,0.09360690414905548
"5, 256",0.01775274984538555,0.09912621974945068
"6, 256",0.019817819818854332,0.10547652095556259
"7, 256",0.020343132317066193,0.10911370813846588
"8, 256",0.017667094245553017,0.10007905960083008
"9, 256",0.019631776958703995,0.10217919200658798
"10, 256",0.018360236659646034,0.0973469465970993
"mean,256",0.018602559342980385,0.10080118104815483
---------------------------------------------------------
第n次,test_mse,test_mae
"1, 64",0.01844765804708004,0.1018299087882042
"2, 64",0.01922985352575779,0.10406966507434845
"3, 64",0.019142884761095047,0.10072807967662811
"4, 64",0.021660752594470978,0.11273002624511719
"5, 64",0.01871364377439022,0.1031562089920044
"6, 64",0.018295494839549065,0.09973307698965073
"7, 64",0.020010067149996758,0.10660907626152039
"8, 64",0.01959015429019928,0.10687492042779922
"9, 64",0.018261438235640526,0.09870021790266037
"10, 64",0.01790795847773552,0.0986347422003746
"mean,64",0.019125990569591522,0.10330659225583076
第n次,test_mse,test_mae
"1, 128",0.019139360636472702,0.10490690171718597
"2, 128",0.01880301721394062,0.10245344787836075
"3, 128",0.01937233656644821,0.10538507252931595
"4, 128",0.02007683552801609,0.10505615174770355
"5, 128",0.01905111037194729,0.09992527216672897
"6, 128",0.019991053268313408,0.10863208770751953
"7, 128",0.01760784536600113,0.0971943810582161
"8, 128",0.019657999277114868,0.1029735878109932
"9, 128",0.018795058131217957,0.10237853229045868
"10, 128",0.020563645288348198,0.1096034124493599
"mean,128",0.019305826164782047,0.10385088473558426
第n次,test_mse,test_mae
"1, 256",0.019723741337656975,0.10588230937719345
"2, 256",0.019011227414011955,0.1007838174700737
"3, 256",0.019611617550253868,0.1032995656132698
"4, 256",0.01882290095090866,0.10221836715936661
"5, 256",0.018611855804920197,0.09877701848745346
"6, 256",0.01708240434527397,0.08860012143850327
"7, 256",0.018097545951604843,0.09831392765045166
"8, 256",0.01675642840564251,0.09455454349517822
"9, 256",0.01844816841185093,0.101674385368824
"10, 256",0.019789300858974457,0.10695308446884155
"mean,256",0.018595519103109838,0.10010571405291557
第n次,test_mse,test_mae
"1, 512",0.01909550093114376,0.10146144032478333
"2, 512",0.018266623839735985,0.09990441054105759
"3, 512",0.018510621041059494,0.10090014338493347
"4, 512",0.01892142742872238,0.10125682502985
"5, 512",0.01882118731737137,0.1011655181646347
"6, 512",0.017942748963832855,0.09875890612602234
"7, 512",0.019161414355039597,0.10213486105203629
"8, 512",0.017788363620638847,0.09743256121873856
"9, 512",0.017834153026342392,0.09871736913919449
"10, 512",0.018652845174074173,0.10045992583036423
"mean,512",0.018499488569796087,0.1002191960811615
