第n次,test_mse,test_mae
"1, 64",0.017956681549549103,0.09968587756156921
"2, 64",0.01793479733169079,0.09819022566080093
"3, 64",0.017657198011875153,0.0981343686580658
"4, 64",0.018995193764567375,0.10316140949726105
"5, 64",0.01933390647172928,0.10269597917795181
"6, 64",0.01727718487381935,0.09384143352508545
"7, 64",0.017429936677217484,0.09610657393932343
"8, 64",0.01787937991321087,0.09858234226703644
"9, 64",0.01853201724588871,0.10192956030368805
"10, 64",0.01829708367586136,0.09792330861091614
"mean,64",0.018129337951540946,0.09902510792016983
第n次,test_mse,test_mae
"1, 128",0.019811436533927917,0.10494115203619003
"2, 128",0.018282266333699226,0.09882289171218872
"3, 128",0.018997149541974068,0.10219551622867584
"4, 128",0.017994968220591545,0.09932512789964676
"5, 128",0.018582740798592567,0.09989968687295914
"6, 128",0.018216753378510475,0.10211452841758728
"7, 128",0.018350964412093163,0.10025162249803543
"8, 128",0.019045423716306686,0.10245583206415176
"9, 128",0.01856091246008873,0.09740480780601501
"10, 128",0.018466897308826447,0.1010960265994072
"mean,128",0.018630951270461084,0.10085071921348572
第n次,test_mse,test_mae
"1, 256",0.018654687330126762,0.10031046718358994
"2, 256",0.01880083978176117,0.1029343530535698
"3, 256",0.018460694700479507,0.09887288510799408
"4, 256",0.01784796081483364,0.09872972220182419
"5, 256",0.0176942627876997,0.0947023257613182
"6, 256",0.018468722701072693,0.09933692961931229
"7, 256",0.017607932910323143,0.09906720370054245
"8, 256",0.018756374716758728,0.10234997421503067
"9, 256",0.018261678516864777,0.1006767675280571
"10, 256",0.018066439777612686,0.09754633903503418
"mean,256",0.018261959403753282,0.09945269674062729
