第n次,test_mse,test_mae
第n次,test_mse,test_mae
"1, 64",0.01834632083773613,0.09860296547412872
"2, 64",0.017483331263065338,0.09445784986019135
"3, 64",0.0177146028727293,0.09447694569826126
"4, 64",0.01896393671631813,0.10223064571619034
"5, 64",0.01806451752781868,0.09714379161596298
"6, 64",0.01700444519519806,0.09443387389183044
"7, 64",0.016921687871217728,0.09409654140472412
"8, 64",0.018417829647660255,0.09958869218826294
"9, 64",0.018663164228200912,0.09820431470870972
"10, 64",0.019039982929825783,0.10194401443004608
"mean,64",0.01806198190897703,0.0975179634988308
第n次,test_mse,test_mae
"1, 128",0.018202049657702446,0.10066765546798706
"2, 128",0.017684834077954292,0.096490778028965
"3, 128",0.01892700232565403,0.09971660375595093
"4, 128",0.01878945156931877,0.10092708468437195
"5, 128",0.01803862489759922,0.0997450053691864
"6, 128",0.018289370462298393,0.09892845898866653
"7, 128",0.01863187551498413,0.09821152687072754
"8, 128",0.017417756840586662,0.09260832518339157
"9, 128",0.017764262855052948,0.09767621755599976
"10, 128",0.019265808165073395,0.10136928409337997
"mean,128",0.018301103636622428,0.09863409399986267
第n次,test_mse,test_mae
"1, 256",0.018663495779037476,0.10193577408790588
"2, 256",0.019057247787714005,0.10081085562705994
"3, 256",0.018185345456004143,0.09529812633991241
"4, 256",0.018252378329634666,0.09776639193296432
"5, 256",0.017683042213320732,0.09547548741102219
"6, 256",0.017580172047019005,0.09858276695013046
"7, 256",0.017787203192710876,0.09744373708963394
"8, 256",0.0177459679543972,0.09626320749521255
"9, 256",0.01748247630894184,0.09847833216190338
"10, 256",0.017268365249037743,0.09490951150655746
"mean,256",0.01797056943178177,0.09769641906023026
---------------------------------------------------------
第n次,test_mse,test_mae
"1, 64",0.018261954188346863,0.09694249927997589
"2, 64",0.019089460372924805,0.10017217695713043
第n次,test_mse,test_mae
"1, 64",0.01832897774875164,0.09700534492731094
"2, 64",0.018440071493387222,0.09866244345903397
"3, 64",0.018145814538002014,0.09834346175193787
"4, 64",0.018756361678242683,0.09999193251132965
"5, 64",0.017412498593330383,0.09557532519102097
"6, 64",0.017381370067596436,0.09360091388225555
"7, 64",0.018443195149302483,0.09318292886018753
"8, 64",0.01881455071270466,0.09708770364522934
"9, 64",0.017771722748875618,0.09628882259130478
"10, 64",0.018556497991085052,0.09723663330078125
"mean,64",0.01820510607212782,0.09669755101203918
第n次,test_mse,test_mae
"1, 128",0.01774604432284832,0.09492119401693344
"2, 128",0.017067719250917435,0.0935746431350708
"3, 128",0.019046906381845474,0.09754092991352081
"4, 128",0.01818334311246872,0.09585090726613998
"5, 128",0.018756937235593796,0.09704820811748505
"6, 128",0.017537973821163177,0.09334172308444977
"7, 128",0.01843499019742012,0.0976242795586586
"8, 128",0.01756363920867443,0.09307339787483215
"9, 128",0.017931990325450897,0.09614578634500504
"10, 128",0.01823720708489418,0.09768269956111908
"mean,128",0.018050675094127656,0.09568037688732148
第n次,test_mse,test_mae
"1, 256",0.017437033355236053,0.09265878796577454
"2, 256",0.01803048886358738,0.09587666392326355
"3, 256",0.018889209255576134,0.09715835005044937
"4, 256",0.01874839887022972,0.09651049971580505
"5, 256",0.017325500026345253,0.09206211566925049
"6, 256",0.017630737274885178,0.09426815062761307
"7, 256",0.017609920352697372,0.09229116886854172
"8, 256",0.01893225871026516,0.0958084985613823
"9, 256",0.017849963158369064,0.09508389234542847
"10, 256",0.01772250048816204,0.09541551768779755
"mean,256",0.018017601035535336,0.0947133645415306
第n次,test_mse,test_mae
第n次,test_mse,test_mae
"1, 64",0.017842253670096397,0.09701718389987946
"2, 64",0.018854845315217972,0.09813235700130463
"3, 64",0.019005773589015007,0.09800920635461807
"4, 64",0.01819869689643383,0.0984465703368187
"5, 64",0.018069177865982056,0.09794580936431885
"6, 64",0.01975875534117222,0.10103579610586166
"7, 64",0.01902443915605545,0.09985927492380142
"8, 64",0.01959693804383278,0.100005604326725
"9, 64",0.01923002302646637,0.10128700733184814
"10, 64",0.01930064707994461,0.09844167530536652
"mean,64",0.01888815499842167,0.09901804849505424
第n次,test_mse,test_mae
"1, 128",0.019567197188735008,0.10240444540977478
"2, 128",0.01984611712396145,0.10134532302618027
"3, 128",0.01871517486870289,0.09802937507629395
"4, 128",0.018523547798395157,0.09686543792486191
"5, 128",0.017918085679411888,0.09499505162239075
"6, 128",0.017259277403354645,0.0920754000544548
"7, 128",0.0183700118213892,0.09660766273736954
"8, 128",0.016675826162099838,0.09237799793481827
"9, 128",0.018498234450817108,0.0952807366847992
"10, 128",0.01783045008778572,0.09537875652313232
"mean,128",0.01832039225846529,0.09653601869940757
第n次,test_mse,test_mae
"1, 256",0.01780710555613041,0.09452637284994125
"2, 256",0.017630739137530327,0.09375344216823578
"3, 256",0.018567778170108795,0.0956437736749649
"4, 256",0.01775660179555416,0.09677931666374207
"5, 256",0.017814582213759422,0.09236679971218109
"6, 256",0.018289003521203995,0.0951944962143898
"7, 256",0.016964709386229515,0.09254531562328339
"8, 256",0.018405061215162277,0.09519227594137192
"9, 256",0.0192756075412035,0.09900099039077759
"10, 256",0.017541738227009773,0.09241276234388351
"mean,256",0.018005292676389218,0.09474155455827712
第n次,test_mse,test_mae
"1, 512",0.01741695962846279,0.09474042057991028
"2, 512",0.016868000850081444,0.08953242748975754
"3, 512",0.017544105648994446,0.09650485962629318
"4, 512",0.017328349873423576,0.09137790650129318
"5, 512",0.01747826114296913,0.09196319431066513
"6, 512",0.018733233213424683,0.09553441405296326
"7, 512",0.017741039395332336,0.0930330753326416
"8, 512",0.016039278358221054,0.08799143135547638
"9, 512",0.014929269440472126,0.08621574938297272
"10, 512",0.017881369218230247,0.09363077580928802
"mean,512",0.017195986676961185,0.09205242544412613
