第n次,test_mse,test_mae
"1, 64",0.0167013481259346,0.09462382644414902
"2, 64",0.019866764545440674,0.10960249602794647
"3, 64",0.018310032784938812,0.10518140345811844
"4, 64",0.021791353821754456,0.11252113431692123
"5, 64",0.02106858789920807,0.11377854645252228
"6, 64",0.021530061960220337,0.11687559634447098
"mean,64",0.019878024856249493,0.10876383384068807
第n次,test_mse,test_mae
"1, 128",0.016561292111873627,0.09835439175367355
"2, 128",0.020774569362401962,0.11253443360328674
"3, 128",0.020369000732898712,0.11542791873216629
"4, 128",0.020703842863440514,0.11166546493768692
"5, 128",0.020394785329699516,0.10963795334100723
"6, 128",0.019137583673000336,0.10750862210988998
"mean,128",0.019656845678885777,0.10918813074628513
第n次,test_mse,test_mae
"1, 256",0.015904605388641357,0.09395279735326767
"2, 256",0.020056528970599174,0.10705018043518066
"3, 256",0.01790638454258442,0.10132637619972229
"4, 256",0.02892954647541046,0.13029010593891144
"5, 256",0.018108084797859192,0.10224892199039459
"6, 256",0.018707484006881714,0.10210676491260529
"mean,256",0.019935439030329388,0.10616252447168033
第n次,test_mse,test_mae
"1, 512",0.018266398459672928,0.1031765565276146
"2, 512",0.02530786395072937,0.1240139752626419
"3, 512",0.01739640161395073,0.10095824301242828
"4, 512",0.01649956963956356,0.09128657728433609
"5, 512",0.019626477733254433,0.10984248667955399
"6, 512",0.019977210089564323,0.10857672989368439
"mean,512",0.019512320247789223,0.10630909477670987
第n次,test_mse,test_mae
"1, 1024",0.017531931400299072,0.09885632991790771
"2, 1024",0.017981531098484993,0.10399513691663742
"3, 1024",0.01940309628844261,0.10990065336227417
"4, 1024",0.018947016447782516,0.10645835101604462
"5, 1024",0.017110079526901245,0.09625662863254547
"6, 1024",0.018585307523608208,0.10160458087921143
"mean,1024",0.01825982704758644,0.10284528012077014
