第n次,test_mse,test_mae
"1, 64",0.013725057244300842,0.08593378961086273
"2, 64",0.013538976199924946,0.08435755223035812
"3, 64",0.01351506169885397,0.08603047579526901
"4, 64",0.013248304836452007,0.0841389149427414
"5, 64",0.013323649764060974,0.0854630172252655
"6, 64",0.013426672667264938,0.08560191839933395
"7, 64",0.013243872672319412,0.08386794477701187
"8, 64",0.013565804809331894,0.08677031844854355
"9, 64",0.013440439477562904,0.08457715809345245
"10, 64",0.013412336818873882,0.08482925593852997
"mean,64",0.013444017618894577,0.08515703454613685
第n次,test_mse,test_mae
"1, 128",0.013510791584849358,0.0852573812007904
"2, 128",0.01323610171675682,0.08412013947963715
"3, 128",0.013323906809091568,0.08467235416173935
"4, 128",0.013275875709950924,0.08350750058889389
"5, 128",0.013423738069832325,0.08542919158935547
"6, 128",0.013468013145029545,0.0861961767077446
"7, 128",0.013407123275101185,0.08634307980537415
"8, 128",0.013239790685474873,0.08449697494506836
"9, 128",0.013399587012827396,0.0849262997508049
"10, 128",0.013512171804904938,0.08655153214931488
"mean,128",0.013379709981381892,0.08515006303787231
第n次,test_mse,test_mae
"1, 256",0.013344580307602882,0.08573173731565475
"2, 256",0.01333713624626398,0.08566609770059586
"3, 256",0.013254638761281967,0.08417403697967529
"4, 256",0.013559761457145214,0.08580578863620758
"5, 256",0.013687025755643845,0.08796259015798569
"6, 256",0.013637076131999493,0.08649892359972
"7, 256",0.013335161842405796,0.08469679951667786
"8, 256",0.01355551928281784,0.08700665086507797
"9, 256",0.013342599384486675,0.08582435548305511
"10, 256",0.01362431887537241,0.08676865696907043
"mean,256",0.01346778180450201,0.08601356372237205
第n次,test_mse,test_mae
"1, 512",0.013241816312074661,0.08390224725008011
"2, 512",0.013708981685340405,0.08675464987754822
"3, 512",0.01355218980461359,0.08626624941825867
"4, 512",0.013528427109122276,0.085523322224617
"5, 512",0.013486846350133419,0.08591574430465698
"6, 512",0.01338854618370533,0.0849776491522789
"7, 512",0.01334623247385025,0.08503071218729019
"8, 512",0.013505727984011173,0.0853220671415329
"9, 512",0.01335946749895811,0.0849674642086029
"10, 512",0.013607706874608994,0.0853671059012413
"mean,512",0.013472594227641821,0.08540272116661071
第n次,test_mse,test_mae
"1, 64",0.013519952073693275,0.0859375
"2, 64",0.013396503403782845,0.08532389998435974
"3, 64",0.013584030792117119,0.08675982058048248
"4, 64",0.013361770659685135,0.08483794331550598
"5, 64",0.013404404744505882,0.08480194956064224
"6, 64",0.013411028310656548,0.08481311798095703
"7, 64",0.013511216267943382,0.08539583534002304
"8, 64",0.013303332030773163,0.08422084897756577
"9, 64",0.01349466573446989,0.08588571846485138
"10, 64",0.013389096595346928,0.08420133590698242
"mean,64",0.013437600061297416,0.085217797011137
第n次,test_mse,test_mae
"1, 128",0.013172626495361328,0.08396297693252563
"2, 128",0.01332881860435009,0.08480092883110046
"3, 128",0.013400598429143429,0.08498798310756683
"4, 128",0.013278892263770103,0.08463669568300247
"5, 128",0.013340825214982033,0.08440382033586502
"6, 128",0.013345868326723576,0.08523482829332352
"7, 128",0.013549069873988628,0.08776525408029556
"8, 128",0.01349189318716526,0.08587250113487244
"9, 128",0.01344083808362484,0.08474139124155045
"10, 128",0.013260641135275364,0.08370716124773026
"mean,128",0.013361007161438464,0.08501135408878327
第n次,test_mse,test_mae
"1, 256",0.013385780155658722,0.0852792039513588
"2, 256",0.013381622731685638,0.08628816902637482
"3, 256",0.013553475961089134,0.08537686616182327
"4, 256",0.013457156717777252,0.08597254008054733
"5, 256",0.013588020578026772,0.08586205542087555
"6, 256",0.013423420488834381,0.08600333333015442
"7, 256",0.013854136690497398,0.08731009066104889
"8, 256",0.013852939940989017,0.08828821778297424
"9, 256",0.013361252844333649,0.08438992500305176
"10, 256",0.0134024228900671,0.08581063896417618
"mean,256",0.013526022899895906,0.08605810403823852
第n次,test_mse,test_mae
"1, 512",0.013426491059362888,0.08497415482997894
"2, 512",0.013491720892488956,0.08519580215215683
"3, 512",0.013343576341867447,0.08429382741451263
"4, 512",0.013784945011138916,0.08859758079051971
"5, 512",0.01334811095148325,0.08551239222288132
"6, 512",0.013583524152636528,0.08619051426649094
"7, 512",0.01332453079521656,0.08524097502231598
"8, 512",0.013162038289010525,0.08427175879478455
"9, 512",0.013294337317347527,0.08422558754682541
"10, 512",0.013449063524603844,0.08580006659030914
"mean,512",0.013420833833515644,0.08543026596307754
