第n次,test_mse,test_mae
"1, 64",0.011363016441464424,0.0765882357954979
"2, 64",0.011546379886567593,0.08078154176473618
"3, 64",0.013186664320528507,0.08551668375730515
"4, 64",0.011165041476488113,0.0784410908818245
"5, 64",0.01058637723326683,0.07553350925445557
"6, 64",0.012540176510810852,0.08410105854272842
"7, 64",0.012994341552257538,0.08398882299661636
"8, 64",0.01213625818490982,0.07933449745178223
"9, 64",0.012046454474329948,0.07926639169454575
"10, 64",0.012316948734223843,0.0795716866850853
"mean,64",0.011988165881484747,0.08031235188245774
第n次,test_mse,test_mae
"1, 128",0.010129043832421303,0.07431649416685104
"2, 128",0.011936571449041367,0.08089250326156616
"3, 128",0.012072726152837276,0.08124800026416779
"4, 128",0.010655226185917854,0.074456125497818
"5, 128",0.01231022272258997,0.0831320583820343
"6, 128",0.011438988149166107,0.07924740761518478
"7, 128",0.010477512143552303,0.0750318393111229
"8, 128",0.010934478603303432,0.07720218598842621
"9, 128",0.013658233918249607,0.0858178585767746
"10, 128",0.011850430630147457,0.08175206184387207
"mean,128",0.011546343378722668,0.07930965349078178
第n次,test_mse,test_mae
"1, 256",0.011754211038351059,0.08001670241355896
"2, 256",0.011512056924402714,0.07917363941669464
"3, 256",0.010694715194404125,0.07361996918916702
"4, 256",0.011638966389000416,0.08012557029724121
"5, 256",0.011692259460687637,0.07888595759868622
"6, 256",0.012500360608100891,0.08142180740833282
"7, 256",0.01130001712590456,0.07822036743164062
"8, 256",0.010420063510537148,0.07505287230014801
"9, 256",0.012598691508173943,0.08275337517261505
"10, 256",0.012017740868031979,0.08000042289495468
"mean,256",0.011612908262759448,0.07892706841230393
第n次,test_mse,test_mae
"1, 512",0.010869688354432583,0.07680167257785797
"2, 512",0.0119104515761137,0.08110954612493515
"3, 512",0.019649527966976166,0.11371463537216187
第n次,test_mse,test_mae
"1, 64",0.01142254751175642,0.0772310197353363
"2, 64",0.012838954105973244,0.08507758378982544
"3, 64",0.012754504568874836,0.0816764086484909
"4, 64",0.013232321478426456,0.08516276627779007
"5, 64",0.013256768696010113,0.08459418267011642
"6, 64",0.012381319887936115,0.08320128917694092
"7, 64",0.012270696461200714,0.08142894506454468
"8, 64",0.0126227717846632,0.08215551823377609
"9, 64",0.010638411156833172,0.07617063075304031
"10, 64",0.013311721384525299,0.08430306613445282
"mean,64",0.012473001703619957,0.0821001410484314
第n次,test_mse,test_mae
"1, 128",0.010919839143753052,0.07819395512342453
"2, 128",0.01289167907088995,0.08242549747228622
"3, 128",0.012609181925654411,0.08329279720783234
"4, 128",0.012261563912034035,0.08236750960350037
"5, 128",0.013122870586812496,0.0851326659321785
"6, 128",0.01319056749343872,0.08570655435323715
"7, 128",0.011209745891392231,0.0759277194738388
"8, 128",0.011972961947321892,0.08034279197454453
"9, 128",0.012069177813827991,0.07973727583885193
"10, 128",0.011586664244532585,0.07794474065303802
"mean,128",0.012183425202965736,0.08110715076327324
第n次,test_mse,test_mae
"1, 256",0.012130585499107838,0.08182285726070404
"2, 256",0.01203023549169302,0.07958921045064926
"3, 256",0.012102161534130573,0.07958195358514786
"4, 256",0.01268070936203003,0.08176910132169724
"5, 256",0.01042383536696434,0.07514888793230057
"6, 256",0.012987187132239342,0.08210567384958267
"7, 256",0.012459426186978817,0.08038181066513062
"8, 256",0.013005628250539303,0.0840216875076294
"9, 256",0.01118191797286272,0.07520635426044464
"10, 256",0.011845666915178299,0.08088111132383347
"mean,256",0.012084735371172429,0.08005086481571197
第n次,test_mse,test_mae
"1, 512",0.01036063116043806,0.07457227259874344
"2, 512",0.012551487423479557,0.08248832076787949
"3, 512",0.01293001975864172,0.08373574167490005
"4, 512",0.012128924019634724,0.08355266600847244
"5, 512",0.012943276204168797,0.08490469306707382
"6, 512",0.012788387946784496,0.08292581886053085
"7, 512",0.012165641412138939,0.08014944940805435
"8, 512",0.012101483531296253,0.08073394000530243
"9, 512",0.011646834202110767,0.07984039187431335
"10, 512",0.011452611535787582,0.07740578055381775
"mean,512",0.01210692971944809,0.0810309074819088
