第n次,test_mse,test_mae
"1, 64",0.012213910929858685,0.08204738050699234
"2, 64",0.012365982867777348,0.08396115899085999
"3, 64",0.013070239685475826,0.0855531096458435
"4, 64",0.013215765357017517,0.08557695150375366
"5, 64",0.011836904101073742,0.08020076155662537
"6, 64",0.012942836619913578,0.08318087458610535
"7, 64",0.011488041840493679,0.07845910638570786
"8, 64",0.0127884391695261,0.08311149477958679
"9, 64",0.012813236564397812,0.0837632417678833
"10, 64",0.012694396078586578,0.08470670878887177
"mean,64",0.012542975321412086,0.08305607885122299
第n次,test_mse,test_mae
"1, 128",0.012170554138720036,0.08286385983228683
"2, 128",0.012300609610974789,0.08364444226026535
"3, 128",0.01250412780791521,0.08206237852573395
"4, 128",0.012183478102087975,0.08135639131069183
"5, 128",0.010850898921489716,0.07545262575149536
"6, 128",0.013018857687711716,0.0848541110754013
"7, 128",0.01261165365576744,0.0821327343583107
"8, 128",0.01245808880776167,0.08157556504011154
"9, 128",0.010158785618841648,0.07195239514112473
"10, 128",0.010667345486581326,0.07446593046188354
"mean,128",0.011892439983785152,0.08003604337573052
第n次,test_mse,test_mae
"1, 256",0.011583112180233002,0.08029573410749435
"2, 256",0.011658836156129837,0.078714519739151
"3, 256",0.010513014160096645,0.07309329509735107
"4, 256",0.010748356580734253,0.07415782660245895
"5, 256",0.011926804669201374,0.08053827285766602
"6, 256",0.01193492952734232,0.0789288580417633
"7, 256",0.012024099007248878,0.08190082013607025
"8, 256",0.011183246038854122,0.07729389518499374
"9, 256",0.012644668109714985,0.08180522173643112
"10, 256",0.013136446475982666,0.08469068259000778
"mean,256",0.011735351290553808,0.07914191260933875
第n次,test_mse,test_mae
"1, 512",0.01132466271519661,0.07641348242759705
"2, 512",0.011439939960837364,0.07883107662200928
"3, 512",0.019752053543925285,0.11379805952310562
"4, 512",0.012407290749251842,0.08037298172712326
