第n次,test_mse,test_mae
"1, 64",0.011652224697172642,0.07939016073942184
"2, 64",0.011167075484991074,0.07682032138109207
"3, 64",0.01171480305492878,0.08094147592782974
"4, 64",0.011825811117887497,0.07904139161109924
"5, 64",0.012103683315217495,0.08147137612104416
"6, 64",0.01239489484578371,0.08232036978006363
"7, 64",0.012303228490054607,0.08285477757453918
"8, 64",0.012454005889594555,0.08234350383281708
"9, 64",0.019608207046985626,0.11453282088041306
"10, 64",0.012650841847062111,0.08316440880298615
"mean,64",0.01278747757896781,0.08428806066513062
第n次,test_mse,test_mae
"1, 128",0.019620345905423164,0.11407280713319778
"2, 128",0.012317352928221226,0.08060915023088455
"3, 128",0.012219207361340523,0.08163415640592575
"4, 128",0.019643450155854225,0.11453782767057419
"5, 128",0.012098703533411026,0.0802607461810112
"6, 128",0.012496797367930412,0.0826214849948883
"7, 128",0.01960659958422184,0.11382977664470673
"8, 128",0.011437946930527687,0.077959805727005
"9, 128",0.01166580244898796,0.07790625840425491
"10, 128",0.011612949892878532,0.08001207560300827
"mean,128",0.014271915610879659,0.09034440889954568
第n次,test_mse,test_mae
"1, 256",0.01959233544766903,0.11363225430250168
"2, 256",0.019597074016928673,0.11389360576868057
"3, 256",0.01959802582859993,0.11415411531925201
"4, 256",0.01963908039033413,0.11320675909519196
"5, 256",0.01963743567466736,0.1140790730714798
"6, 256",0.01960783824324608,0.1138121634721756
"7, 256",0.019630011171102524,0.11417952179908752
"8, 256",0.019621415063738823,0.1133669912815094
"9, 256",0.01962149329483509,0.1137431189417839
"10, 256",0.01958911120891571,0.11384784430265427
"mean,256",0.019613382034003736,0.11379154473543167
第n次,test_mse,test_mae
"1, 512",0.019607724621891975,0.11397496610879898
"2, 512",0.019594913348555565,0.11395738273859024
"3, 512",0.019613206386566162,0.11347165703773499
"4, 512",0.01961200311779976,0.11446459591388702
"5, 512",0.019611220806837082,0.1135067343711853
"6, 512",0.019613564014434814,0.11399400979280472
