第n次,test_mse,test_mae
"1, 64",0.013008593581616879,0.0849371924996376
"2, 64",0.0117086386308074,0.07932665944099426
"3, 64",0.013382823206484318,0.08441270887851715
"4, 64",0.012731190770864487,0.08295401185750961
"5, 64",0.012504749931395054,0.08230093866586685
"6, 64",0.013432790525257587,0.0868120864033699
"7, 64",0.012812440283596516,0.08436199277639389
"8, 64",0.013296348974108696,0.08389850705862045
"9, 64",0.011654804460704327,0.08013708889484406
"10, 64",0.013065743260085583,0.08429014682769775
"mean,64",0.012759812362492084,0.08334313333034515
第n次,test_mse,test_mae
"1, 128",0.011736392974853516,0.0796767994761467
"2, 128",0.011281078681349754,0.07928469777107239
"3, 128",0.012567159719765186,0.08288935571908951
"4, 128",0.010831556282937527,0.07861906290054321
"5, 128",0.012738725170493126,0.08196374028921127
"6, 128",0.012066235765814781,0.08077393472194672
"7, 128",0.01261406484991312,0.08199959993362427
"8, 128",0.011256889440119267,0.07655740529298782
"9, 128",0.011905415914952755,0.08078910410404205
"10, 128",0.013077648356556892,0.08458130061626434
"mean,128",0.012007516715675593,0.08071350008249283
第n次,test_mse,test_mae
"1, 256",0.011317366734147072,0.07872094959020615
"2, 256",0.012423076666891575,0.08251482993364334
"3, 256",0.01260494813323021,0.08135652542114258
"4, 256",0.011747329495847225,0.08009157329797745
"5, 256",0.009995026513934135,0.07259312272071838
"6, 256",0.01281168032437563,0.08399263024330139
"7, 256",0.011251366697251797,0.07871750742197037
"8, 256",0.012938287109136581,0.0837562158703804
"9, 256",0.01293405145406723,0.08453014492988586
"10, 256",0.011208496056497097,0.07833299040794373
"mean,256",0.011923162918537854,0.08046064898371696
第n次,test_mse,test_mae
"1, 512",0.010183025151491165,0.07312994450330734
"2, 512",0.012077389284968376,0.07920872420072556
"3, 512",0.012393321841955185,0.0835847482085228
"4, 512",0.01068199798464775,0.07590895146131516
"5, 512",0.010437875986099243,0.07462417334318161
"6, 512",0.012643260881304741,0.08375664055347443
"7, 512",0.010082799009978771,0.07256029546260834
"8, 512",0.01280920673161745,0.08339972794055939
"9, 512",0.011081800796091557,0.07584889233112335
第n次,test_mse,test_mae
"1, 64",0.012180923484265804,0.08231451362371445
"2, 64",0.013138892129063606,0.08324801176786423
"3, 64",0.012545320205390453,0.08410786837339401
"4, 64",0.012256321497261524,0.08160700649023056
"5, 64",0.013031583279371262,0.08371177315711975
"6, 64",0.011723484843969345,0.07996154576539993
"7, 64",0.013112439773976803,0.08422225713729858
"8, 64",0.01133169699460268,0.0774318128824234
"9, 64",0.013612011447548866,0.08773971349000931
"10, 64",0.010905581526458263,0.0754871740937233
"mean,64",0.012383825518190861,0.08198316767811775
第n次,test_mse,test_mae
"1, 128",0.012727308087050915,0.08185335248708725
"2, 128",0.012294378131628036,0.08365286886692047
"3, 128",0.011346985585987568,0.07745564728975296
"4, 128",0.012632393278181553,0.08308327943086624
"5, 128",0.010687137022614479,0.07515643537044525
"6, 128",0.010929912328720093,0.07686588168144226
"7, 128",0.011848598718643188,0.08043354004621506
"8, 128",0.011568655259907246,0.07879123091697693
"9, 128",0.011108841747045517,0.07909084111452103
"10, 128",0.0108866598457098,0.07419762015342712
"mean,128",0.01160308700054884,0.07905806973576546
第n次,test_mse,test_mae
"1, 256",0.01276889443397522,0.08291936665773392
"2, 256",0.010016107931733131,0.07235162705183029
"3, 256",0.012282054871320724,0.0814681351184845
"4, 256",0.010872078128159046,0.07595673948526382
"5, 256",0.010864789597690105,0.0772029384970665
"6, 256",0.011275523342192173,0.07792247086763382
"7, 256",0.010953688994050026,0.07681384682655334
"8, 256",0.012963071465492249,0.08406232297420502
"9, 256",0.011093789711594582,0.07578578591346741
"10, 256",0.011522780172526836,0.07842042297124863
"mean,256",0.01146127786487341,0.07829036563634872
第n次,test_mse,test_mae
"1, 512",0.010484006255865097,0.0748361125588417
"2, 512",0.013340952806174755,0.08412278443574905
"3, 512",0.012132236734032631,0.08165953308343887
"4, 512",0.0112898675724864,0.07521423697471619
"5, 512",0.011461150832474232,0.07727324962615967
"6, 512",0.011119547300040722,0.07623987644910812
"7, 512",0.012862230651080608,0.08246013522148132
"8, 512",0.011347453109920025,0.07741546630859375
"9, 512",0.01181967556476593,0.08024246990680695
"10, 512",0.010773148387670517,0.0727791115641594
"mean,512",0.011663026921451092,0.0782242976129055
