第n次,test_loss,"(attention---felixhao28)1LSTM-1Att-1LSTM noDropout   different attention units output  lookback = 288, delay = 12*6",,,,,,,,,,
,,,,,,,,,,,,
"1, 64",0.029941859,,,,,,,,,,,
,,,,,,,,,,,,
"2, 64",0.029957246,,,,,,,,,,,
,,,,,,,,,,,,
"3, 64",0.029902992,,,,,,,,,,,
,,,,,,,,,,,,
"4, 64",0.029957604,,,,,,,,,,,
,,,,,,,,,,,,
"5, 64",0.029805967,,,,,,,,,,,
,,,,,,,,,,,,
"6, 64",0.029854265,,,,,,,,,,,
,,,,,,,,,,,,
"7, 64",0.029863939,,,,,,,,,,,
,,,,,,,,,,,,
"8, 64",0.029901559,,,,,,,,,,,
,,,,,,,,,,,,
"9, 64",0.034273916,,,,,,,,,,,
,,,,,,,,,,,,
"10, 64",0.034353611,,,,,,,,,,,
,,,,,,,,,,,,
"mean,64",0.030781296,,,,,,,,,,,
,,,,,,,,,,,,
"1, 128",0.029913985,,,,,,,,,,,
,,,,,,,,,,,,
"2, 128",0.029883421,,,,,,,,,,,
,,,,,,,,,,,,
"3, 128",0.029959805,,,,,,,,,,,
,,,,,,,,,,,,
"4, 128",0.020591255,,,,,,,,,,,
,,,,,,,,,,,,
"5, 128",0.029908272,,,,,,,,,,,
,,,,,,,,,,,,
"6, 128",0.029963126,,,,,,,,,,,
,,,,,,,,,,,,
"7, 128",0.029988397,,,,,,,,,,,
,,,,,,,,,,,,
"8, 128",0.029909577,,,,,,,,,,,
,,,,,,,,,,,,
"9, 128",0.029845399,,,,,,,,,,,
,,,,,,,,,,,,
"10, 128",0.0297988,,,,,,,,,,,
,,,,,,,,,,,,
"mean,128",0.028976204,,,,,,,,,,,
,,,,,,,,,,,,
"1, 256",0.029765666,,,,,,,,,,,
,,,,,,,,,,,,
"2, 256",0.029612043,,,,,,,,,,,
,,,,,,,,,,,,
"3, 256",0.029569538,,,,,,,,,,,
,,,,,,,,,,,,
"4, 256",0.029623916,,,,,,,,,,,
,,,,,,,,,,,,
"5, 256",0.029544984,,,,,,,,,,,
,,,,,,,,,,,,
"6, 256",0.029554953,,,,,,,,,,,
,,,,,,,,,,,,
"7, 256",0.029488725,,,,,,,,,,,
,,,,,,,,,,,,
"8, 256",0.029269138,,,,,,,,,,,
,,,,,,,,,,,,
"9, 256",0.029742734,,,,,,,,,,,
,,,,,,,,,,,,
"10, 256",0.029649846,,,,,,,,,,,
,,,,,,,,,,,,
"mean,256",0.029582154,,,,,,,,,,,
,,,,,,,,,,,,
第n次,test_loss,,,,,,,,,,,
,,,,,,,,,,,,
"1, 64",0.029921947,,,,,,,,,,,
,,,,,,,,,,,,
"2, 64",0.029855544,,,,,,,,,,,
,,,,,,,,,,,,
"3, 64",0.024132543,,,,,,,,,,,
,,,,,,,,,,,,
"4, 64",0.029928718,,,,,,,,,,,
,,,,,,,,,,,,
"5, 64",0.029857604,,,,,,,,,,,
,,,,,,,,,,,,
"6, 64",0.029559539,,,,,,,,,,,
,,,,,,,,,,,,
"7, 64",0.02989161,,,,,,,,,,,
,,,,,,,,,,,,
"8, 64",0.029995556,,,,,,,,,,,
,,,,,,,,,,,,
"9, 64",0.029939886,,,,,,,,,,,
,,,,,,,,,,,,
"10, 64",0.029931103,,,,,,,,,,,
,,,,,,,,,,,,
"mean,64",0.029301405,,,,,,,,,,,
,,,,,,,,,,,,
"1, 128",0.029966011,,,,,,,,,,,
,,,,,,,,,,,,
"2, 128",0.029897542,,,,,,,,,,,
,,,,,,,,,,,,
"3, 128",0.02971866,,,,,,,,,,,
,,,,,,,,,,,,
"4, 128",0.029884747,,,,,,,,,,,
,,,,,,,,,,,,
"5, 128",0.02986936,,,,,,,,,,,
,,,,,,,,,,,,
"6, 128",0.029913409,,,,,,,,,,,
,,,,,,,,,,,,
"7, 128",0.029913779,,,,,,,,,,,
,,,,,,,,,,,,
"8, 128",0.030055076,,,,,,,,,,,
,,,,,,,,,,,,
"9, 128",0.029942826,,,,,,,,,,,
,,,,,,,,,,,,
"10, 128",0.029836512,,,,,,,,,,,
,,,,,,,,,,,,
"mean,128",0.029899792,,,,,,,,,,,
,,,,,,,,,,,,
"1, 256",0.029505321,,,,,,,,,,,
,,,,,,,,,,,,
"2, 256",0.029506325,,,,,,,,,,,
,,,,,,,,,,,,
"3, 256",0.029625277,,,,,,,,,,,
,,,,,,,,,,,,
"4, 256",0.029598766,,,,,,,,,,,
,,,,,,,,,,,,
"5, 256",0.029610971,,,,,,,,,,,
,,,,,,,,,,,,
"6, 256",0.029512744,,,,,,,,,,,
